report,session_id,report_date,completed_work_units,success_status,failure_reason,session_type,agent_count,duration_minutes,files_touched,notes
2026-06-21,operator-runbook (9),2026-06-21,1,completed,,patch,1,23.00,6,plan_ns=plan:jarvis:operator-runbook 2026-06-21T17:44:25.778Z..2026-06-21T17:47:17.753Z; patch_ns=jarvis:2026-06-21T17-43-53Z-operator-runbook 2026-06-21T17:51:02.350Z..2026-06-21T18:07:55.670Z; git_fallback=f1e36d4..1e8805e; judgment=completed src=reports/2026-06-21-operator.md sec2 shipped row 9 + sec9 cost row operator-runbook (9) -> 2026-06-21/operator-runbook (9); completed_work_units=1 src=same shipped row
2026-06-21,plan-git-false (11),2026-06-21,1,completed,,patch,1,54.00,10,plan_ns=plan:jarvis:plan-git-false-boundary-misfire 2026-06-21T17:54:46.759Z..2026-06-21T18:01:32.291Z; patch_ns=jarvis:2026-06-21T17-50-11Z-plan-git-false-boundary-misfire 2026-06-21T18:40:55.312Z..2026-06-21T19:06:17.324Z; git_fallback=4f5fdba..181dda0; judgment=completed src=reports/2026-06-21-operator.md sec2 shipped row 11 + sec9 cost row plan-git-false (11) -> 2026-06-21/plan-git-false (11); completed_work_units=1 src=same shipped row
2026-06-21,test-audit (10),2026-06-21,,blocked,flaky test blocked run,plan,,22.00,,plan_ns=plan:jarvis:test-suite-audit-and-refactor 2026-06-21T18:19:07.283Z..2026-06-21T18:29:28.252Z; judgment=blocked src=reports/2026-06-21-operator.md sec7 parked test-suite-audit-and-refactor -> 2026-06-21/test-audit (10); completed_work_units blank: no exact delivered-unit count survived; run moved to 2026-06-22/test-suite-audit after flaky watchdog fix
2026-06-22,test-suite-audit,2026-06-21,,completed,,patch,2,120.72,50,patch_ns=jarvis:2026-06-21T18-09-33Z-test-suite-audit-and-refactor 2026-06-21T18:40:34.068Z..2026-06-21T23:54:31.024Z; git_fallback=ab72b5d..4f810b7; judgment=completed src=reports/2026-06-22-operator.md sec2 shipped row test-suite-audit-and-refactor -> 2026-06-22/test-suite-audit; completed_work_units blank: exact per-row count not preserved; run-only row; finalized plan stayed on 2026-06-21/test-audit (10)
2026-06-22,harness-transient,2026-06-22,2,completed,,patch,1,94.15,15,plan_ns=plan:jarvis:harness-transient-retry-git-gh-ops 2026-06-22T00:17:02.631Z..2026-06-22T00:23:57.786Z; patch_ns=jarvis:2026-06-22T00-12-08Z-harness-transient-retry-git-gh-ops 2026-06-22T01:34:22.707Z..2026-06-22T02:12:58.002Z; git_fallback=9f25a38..d20dd79; judgment=completed src=reports/2026-06-22-operator.md sec2 shipped row harness-transient-retry-git-gh-ops -> 2026-06-22/harness-transient; completed_work_units=2 src=same shipped row split into async-chokepoint + sync-path subspecs
2026-06-22,deflake,2026-06-21,1,completed,,patch,1,50.83,6,plan_ns=plan:jarvis:deflake-watchdog-descendants-alive-test 2026-06-21T22:44:47.198Z..2026-06-21T22:50:32.462Z; patch_ns=jarvis:2026-06-21T22-41-37Z-deflake-watchdog-descendants-alive-test 2026-06-21T23:01:52.479Z..2026-06-21T23:18:27.318Z; git_fallback=ad9752e..ab72b5d; judgment=completed src=reports/2026-06-22-operator.md sec2 shipped row deflake-watchdog-descendants-alive-test -> 2026-06-22/deflake; completed_work_units=1 src=same shipped row
2026-06-22,codex-path-cache,2026-06-22,1,completed,,patch,1,48.05,7,plan_ns=plan:jarvis:codex-path-cache-inefficiency 2026-06-22T02:28:49.702Z..2026-06-22T02:34:50.591Z; patch_ns=jarvis:2026-06-22T02-22-18Z-codex-path-cache-inefficiency 2026-06-22T03:27:44.850Z..2026-06-22T03:43:14.561Z; git_fallback=6615990..b8a6fe3; judgment=completed src=reports/2026-06-22-operator.md sec2 shipped row codex-path-cache-inefficiency -> 2026-06-22/codex-path-cache; completed_work_units=1 src=same shipped row
2026-06-22,correct-agent-default-models,2026-06-22,1,completed,,patch,1,29.00,9,plan_ns=plan:jarvis:correct-agent-default-models 2026-06-22T03:36:49.730Z..2026-06-22T03:41:03.812Z; patch_ns=jarvis:2026-06-22T03-35-35Z-correct-agent-default-models 2026-06-22T04:47:29.178Z..2026-06-22T05:01:45.877Z; git_fallback=2564556..af0d963; judgment=completed src=reports/2026-06-22-operator-batch.md shipped row correct-agent-default-models -> 2026-06-22/correct-agent-default-models; completed_work_units=1 src=same shipped row
2026-06-22,agent-transient-retry-backoff,2026-06-22,1,completed,,patch,1,35.00,8,plan_ns=plan:jarvis:agent-transient-retry-backoff 2026-06-22T05:05:07.754Z..2026-06-22T05:09:21.391Z; patch_ns=jarvis:2026-06-22T05-03-14Z-agent-transient-retry-backoff 2026-06-22T05:22:18.714Z..2026-06-22T05:39:40.522Z; git_fallback=3d60769..6034a66; judgment=completed src=reports/2026-06-22-operator-batch.md shipped row agent-transient-retry-backoff -> 2026-06-22/agent-transient-retry-backoff; completed_work_units=1 src=same shipped row
2026-06-22,flaky-serial-retry-mid-work,2026-06-22,,completed,,patch,1,59.00,15,plan_ns=plan:jarvis:flaky-serial-retry-agent-mid-work-runs 2026-06-22T05:46:25.755Z..2026-06-22T05:53:18.533Z; patch_ns=jarvis:2026-06-22T05-41-05Z-flaky-serial-retry-agent-mid-work-runs 2026-06-22T06:05:59.733Z..2026-06-22T06:43:15.307Z; git_fallback=4d155ee..7f06091; judgment=completed src=reports/2026-06-22-operator-batch.md shipped row flaky-serial-retry-agent-mid-work-runs -> 2026-06-22/flaky-serial-retry-mid-work; completed_work_units blank: exact per-row count not preserved
2026-06-22,intent-split-emit-contract,2026-06-22,1,completed,,patch,1,44.00,7,plan_ns=plan:jarvis:intent-split-emit-contract-flaky 2026-06-22T06:48:34.137Z..2026-06-22T06:53:38.746Z; patch_ns=jarvis:2026-06-22T06-46-33Z-intent-split-emit-contract-flaky 2026-06-22T07:05:10.464Z..2026-06-22T07:32:02.046Z; git_fallback=0b476ca..98d6a3e; judgment=completed src=reports/2026-06-22-operator-batch.md shipped row intent-split-emit-contract-flaky -> 2026-06-22/intent-split-emit-contract; completed_work_units=1 src=same shipped row
2026-06-22,intent-pr-auto-ready,2026-06-22,1,completed,,patch,1,43.00,7,plan_ns=plan:jarvis:intent-pr-auto-ready 2026-06-22T07:41:44.516Z..2026-06-22T07:45:41.209Z; patch_ns=jarvis:2026-06-22T07-40-20Z-intent-pr-auto-ready 2026-06-22T07:54:28.722Z..2026-06-22T08:23:42.002Z; git_fallback=5437a38..7793c70; judgment=completed src=reports/2026-06-22-operator-batch.md shipped row intent-pr-auto-ready -> 2026-06-22/intent-pr-auto-ready; completed_work_units=1 src=same shipped row
2026-06-22,harness-suggestion-intake,2026-06-22,1,completed,,patch,1,23.00,5,plan_ns=plan:jarvis:harness-suggestion-intake 2026-06-22T14:12:47.045Z..2026-06-22T14:16:35.883Z; patch_ns=jarvis:2026-06-22T14-10-54Z-harness-suggestion-intake 2026-06-22T14:20:46.824Z..2026-06-22T14:35:13.213Z; git_fallback=e42eb4b..a5db277; judgment=completed src=reports/2026-06-22-operator-batch.md shipped row harness-suggestion-intake -> 2026-06-22/harness-suggestion-intake; completed_work_units=1 src=same shipped row
2026-06-22,finalize-complete-but-dirty (#390),2026-06-22,5,completed,,patch,1,125.87,24,plan_ns=plan:jarvis:finalize-complete-but-dirty-run 2026-06-22T00:20:00.340Z..2026-06-22T00:39:46.114Z; patch_ns=jarvis:2026-06-22T00-12-05Z-finalize-complete-but-dirty-run 2026-06-22T02:37:09.597Z..2026-06-22T04:02:58.585Z; git_fallback=a5db277..984505e; judgment=completed src=reports/2026-06-22-operator-batch.md shipped row finalize-complete-but-dirty-run -> 2026-06-22/finalize-complete-but-dirty (#390); completed_work_units=5 src=reports/2026-06-22-operator.md sec2 in-flight note 5/5 subspecs ticked + reports/2026-06-22-operator-batch.md #390 section
2026-06-23-wrapup,ready-gate-no-nonnull-autofix (gate bug),2026-06-22,1,completed,,patch,1,24.00,7,plan_ns=plan:jarvis:ready-gate-no-nonnull-autofix-typecheck-conflict 2026-06-22T17:09:08.896Z..2026-06-22T17:13:40.741Z; patch_ns=jarvis:2026-06-22T17-07-55Z-ready-gate-no-nonnull-autofix-typecheck-conflict 2026-06-22T17:16:26.041Z..2026-06-22T17:34:14.205Z; git_fallback=13ad76b..be4ce04; judgment=completed src=reports/2026-06-23T00-52-38Z-operator.md shipped row ready-gate-no-nonnull-autofix (gate bug) -> 2026-06-23-wrapup/ready-gate-no-nonnull-autofix (gate bug); completed_work_units=1 src=same shipped row
2026-06-23-wrapup,escalate-actuator-on-no-progress,2026-06-22,1,completed,,patch,1,52.00,11,plan_ns=plan:jarvis:escalate-actuator-on-no-progress 2026-06-22T17:52:12.964Z..2026-06-22T17:58:42.715Z; patch_ns=jarvis:2026-06-22T17-50-25Z-escalate-actuator-on-no-progress 2026-06-22T18:11:51.473Z..2026-06-22T18:42:42.211Z; git_fallback=0c7a7e2..5d9d576; judgment=completed src=reports/2026-06-23T00-52-38Z-operator.md shipped row escalate-actuator-on-no-progress -> 2026-06-23-wrapup/escalate-actuator-on-no-progress; completed_work_units=1 src=same shipped row
2026-06-23-wrapup,intake-url-on-operator-read-surfaces (doc surfaces),2026-06-22,1,completed,,patch,1,16.00,5,plan_ns=plan:jarvis:intake-url-on-operator-read-surfaces 2026-06-22T19:31:05.998Z..2026-06-22T19:34:12.222Z; patch_ns=jarvis:2026-06-22T19-30-08Z-intake-url-on-operator-read-surfaces 2026-06-22T19:37:18.537Z..2026-06-22T19:47:53.289Z; git_fallback=9f70011..b44df96; judgment=completed src=reports/2026-06-23T00-52-38Z-operator.md shipped row intake-url-on-operator-read-surfaces (doc surfaces) -> 2026-06-23-wrapup/intake-url-on-operator-read-surfaces (doc surfaces); completed_work_units=1 src=same shipped row
2026-06-23-wrapup,intake-nudge-on-cli-run-completion (CLI nudge),2026-06-22,1,completed,,patch,1,33.00,8,plan_ns=plan:jarvis:intake-nudge-on-cli-run-completion-2 2026-06-22T20:05:08.057Z..2026-06-22T20:10:07.721Z; patch_ns=jarvis:2026-06-22T20-02-12Z-intake-nudge-on-cli-run-completion-2 2026-06-22T20:42:51.774Z..2026-06-22T21:02:54.587Z; git_fallback=aa456cf..c3cef03; judgment=completed src=reports/2026-06-23T00-52-38Z-operator.md shipped row intake-nudge-on-cli-run-completion (CLI nudge) -> 2026-06-23-wrapup/intake-nudge-on-cli-run-completion (CLI nudge); completed_work_units=1 src=same shipped row
2026-06-23-wrapup,custom-ready-gate-command,2026-06-22,1,completed,,patch,1,61.00,20,plan_ns=plan:jarvis:custom-ready-gate-command 2026-06-22T19:36:44.761Z..2026-06-22T19:41:31.976Z; patch_ns=jarvis:2026-06-22T19-34-03Z-custom-ready-gate-command 2026-06-22T20:17:58.515Z..2026-06-22T20:37:53.408Z; git_fallback=92dbf4f..aa456cf; judgment=completed src=reports/2026-06-23T00-52-38Z-operator.md shipped row custom-ready-gate-command -> 2026-06-23-wrapup/custom-ready-gate-command; completed_work_units=1 src=same shipped row
2026-06-23-wrapup,prompt-mode-end-of-run-summary,2026-06-22,2,completed,,patch,2,39.00,10,plan_ns=plan:jarvis:prompt-mode-end-of-run-summary-2 2026-06-22T21:16:19.230Z..2026-06-22T21:23:17.709Z; patch_ns=jarvis:2026-06-22T21-13-55Z-prompt-mode-end-of-run-summary-2 2026-06-22T21:32:29.626Z..2026-06-22T21:53:29.618Z; git_fallback=c29a74c..d442866; judgment=completed src=reports/2026-06-23T00-52-38Z-operator.md shipped row prompt-mode-end-of-run-summary -> 2026-06-23-wrapup/prompt-mode-end-of-run-summary; completed_work_units=2 src=same shipped row end-of-run summary + telemetry enrichment
2026-06-23-operator,plan-nocommit-boundary-allows-siblings,2026-06-23,1,completed,,implementation,1,36.83,10,plan+run on claude
2026-06-23-operator,outcome-data-source-audit,2026-06-23,1,completed,,implementation,1,26.35,4,plan+run on claude
2026-06-23-operator,outcome-sheets-schema-and-standard,2026-06-23,1,completed,,implementation,1,24.18,8,plan+run on codex
2026-06-23-operator,outcome-sheets-backfill,2026-06-23,1,completed,,implementation,1,41.08,10,plan+run on codex
2026-06-23-operator,declared-tier-starts-model-escalation,2026-06-23,1,completed,,implementation,2,35.57,11,manual-finalized after review-phase quota fail
2026-06-23-operator,route-spec-authoring-by-target,2026-06-23,1,completed,,implementation,1,50.8,11,plan+run on claude
2026-06-23-operator,route-cleanup-archival-by-target,2026-06-23,1,completed,,implementation,1,42.28,6,plan+run on claude
2026-06-23-operator,migrate-accumulated-completed-specs,2026-06-23,1,completed,,implementation,1,29.68,14,plan+run on claude
2026-06-23-operator,rename-wip-intents-dir-to-seeds,2026-06-23,1,completed,,implementation,1,39.28,19,plan+run on claude
2026-06-24-operator,verify-session-prs-merged,2026-06-23,2,completed,,patch,1,53.94,7,plan_ns=plan:jarvis:verify-session-prs-merged; patch_ns=jarvis:2026-06-23T15-48-48Z-verify-session-prs-merged; judgment=completed src=report shipped + merged PR #484
2026-06-24-operator,retry-ready-gate-on-red-before-fixup,2026-06-23,1,completed,,patch,2,65.49,9,plan_ns=plan:jarvis:retry-ready-gate-on-red-before-fixup; patch_ns=jarvis:2026-06-23T16-01-46Z-retry-ready-gate-on-red-before-fixup; judgment=completed src=report shipped + merged PR #488
2026-06-24-operator,quarantine-fixup-edits-on-stuck-red,2026-06-23,1,completed,,patch,2,134.43,9,plan_ns=plan:jarvis:quarantine-fixup-edits-on-stuck-red; patch_ns=jarvis:2026-06-23T16-02-01Z-quarantine-fixup-edits-on-stuck-red; judgment=completed src=report shipped + merged PR #491
2026-06-24-operator,commit-false-rerun-spec-reset,2026-06-23,1,completed,,patch,2,115.59,10,plan_ns=plan:jarvis:commit-false-rerun-spec-reset; patch_ns=jarvis:2026-06-23T16-02-01Z-commit-false-rerun-spec-reset; judgment=completed src=report shipped + merged PR #496
2026-06-24-operator,commit-false-rerun-worktree-reuse,2026-06-23,0,canceled,plan prereq-gate blocked: no-referent premise,plan,1,9.74,0,plan_ns=plan:jarvis:commit-false-rerun-worktree-reuse; judgment=canceled src=plan prereq-gate no-referent; closed #486; no run phase
2026-06-24-operator,review-failure-distinct-exit-reason,2026-06-23,1,completed,,patch,1,86.11,11,plan_ns=plan:jarvis:review-failure-distinct-exit-reason; patch_ns=jarvis:2026-06-23T16-20-35Z-review-failure-distinct-exit-reason; judgment=completed src=report shipped + merged PR #494
2026-06-24-operator,per-project-ready-gate-retry-knob,2026-06-23,1,completed,,patch,1,77.92,9,plan_ns=plan:jarvis:per-project-ready-gate-retry-knob; patch_ns=jarvis:2026-06-23T22-01-55Z-per-project-ready-gate-retry-knob; judgment=completed src=report shipped + merged PR #497
2026-06-24-operator,auto-ready-pr-on-review-failure,2026-06-24,1,completed,,patch,2,87.43,6,plan_ns=plan:jarvis:auto-ready-pr-on-review-failure; patch_ns=jarvis:2026-06-24T19-22-36Z-auto-ready-pr-on-review-failure; judgment=completed src=report shipped + merged PR #498
2026-06-24-operator,markdown-lint-script,2026-06-23,1,completed,,patch,2,54.76,7,plan_ns=plan:jarvis:markdown-lint-script; patch_ns=jarvis:2026-06-23T12-53-27Z-markdown-lint-script; judgment=completed src=report shipped + merged PR #492
2026-06-24-operator,markdown-corpus-normalize,2026-06-24,1,completed,,patch,1,47.57,13,plan_ns=plan:jarvis:markdown-corpus-normalize; patch_ns=jarvis:2026-06-24T18-41-10Z-markdown-corpus-normalize; judgment=completed src=report shipped + merged PR #499
2026-06-24-operator,markdown-lint-ready-gate,2026-06-24,1,completed,,patch,1,39.47,7,plan_ns=plan:jarvis:markdown-lint-ready-gate; patch_ns=jarvis:2026-06-24T23-25-00Z-markdown-lint-ready-gate; judgment=completed src=report shipped + merged PR #501
2026-06-25T11-31-26Z-operator,sync-ready-pipeline-recitations-in-docs,2026-06-25,1,completed,,patch,2,25.03,7,patch_ns=jarvis:2026-06-25T03-11-39Z-sync-ready-pipeline-recitations-in-docs; merge_sha=4fc3e9b9; run exited 11 on review-phase quota; PR #518 readied+merged; agents=cursor+aider (claude quota-fallback only)
2026-06-25T11-31-26Z-operator,plan-rerun-reuses-surviving-worktree,2026-06-25,1,completed,,patch,1,48.58,8,patch_ns=jarvis:2026-06-25T03-07-29Z-plan-rerun-reuses-surviving-worktree; merge_sha=0d839eed; criteria-complete; PR #527 merged
2026-06-25T11-31-26Z-operator,auth-error-rotates-to-next-agent,2026-06-25,2,completed,,patch,1,66.38,22,patch_ns=jarvis:2026-06-25T03-07-25Z-auth-error-rotates-to-next-agent; merge_sha=604ecf27; criteria-complete; PR merged
2026-06-25T11-31-26Z-operator,review-actuator-push-stays-convergent,2026-06-25,1,completed,,patch,1,38.38,8,patch_ns=jarvis:2026-06-25T03-11-46Z-review-actuator-push-stays-convergent; merge_sha=b25b5620; run exited error(1) on flaky watchdog test; finalized after isolation re-run passed; PR #535 merged
2026-06-25T11-31-26Z-operator,converge-and-ready-pr-head-on-rejected-actuator-push,2026-06-25,1,completed,,patch,2,46.67,8,patch_ns=jarvis:2026-06-25T03-11-47Z-converge-and-ready-pr-head-on-rejected-actuator-push; merge_sha=28393fca; run exited 11 on review-phase quota; PR #537 readied+merged; agents=claude+aider
2026-06-25T11-31-26Z-operator,dep-adding-specs-install-unattended,2026-06-25,2,completed,,patch,1,57.57,19,patch_ns=jarvis:2026-06-25T03-07-27Z-dep-adding-specs-install-unattended; merge_sha=5b4fbe55; criteria-complete; PR merged
2026-06-25T22-27-28Z-operator,run-human-only-criteria-open-pr-not-block,2026-06-25,3,completed,,patch,1,91.40,20,patch_ns=jarvis:2026-06-25T19-59-55Z-run-human-only-criteria-open-pr-not-block; merge_sha=3b39a049; criteria-complete(0); 3 subspecs delivered; PR #559; files_touched=PR #559 changed paths
2026-06-25T22-27-28Z-operator,run-tolerates-noncontract-repo-line-in-index,2026-06-25,1,completed,,patch,1,74.65,9,patch_ns=jarvis:2026-06-25T19-50-17Z-run-tolerates-noncontract-repo-line-in-index; merge_sha=cabaf15b; run timed out(8) on spawn flake; finalized isolation re-run; PR #556
2026-06-25T22-27-28Z-operator,exit10-verified-green-marks-ready,2026-06-25,1,completed,,patch,1,61.25,9,patch_ns=jarvis:2026-06-25T20-09-21Z-exit10-verified-green-marks-ready; merge_sha=48f4bf36; run exited 1 on spawn flake; finalized isolation re-run; PR #558
2026-06-25T22-27-28Z-operator,plan-does-not-emit-noncontract-index-lines,2026-06-25,1,completed,,patch,1,34.15,7,patch_ns=jarvis:2026-06-25T20-24-54Z-plan-does-not-emit-noncontract-index-lines; merge_sha=08dc94a2; run exited 1 solo on spawn flake; finalized isolation re-run; PR #560
2026-06-25T22-27-28Z-operator,intent-generated-ready-intents-pass-lint-md,2026-06-25,0,failed,impl reverted - broke main (npx markdownlint MD041 on frontmatter; 34 intentCommand tests failed),patch,1,82.98,0,patch_ns=jarvis:2026-06-25T19-45-46Z-intent-generated-ready-intents-pass-lint-md; impl #555 merge 3b86d53f REVERTED via #561; spec #549 remains on main; re-seeded intent-lint-md-autofix-rework; net files delivered=0
2026-06-25T22-27-28Z-operator,commit-false-rerun-resets-killed-run,2026-06-25,0,blocked,plan blocker - likely already fixed by #496 (no residual repro),plan,1,6.25,0,patch_ns=jarvis:2026-06-25T20-01-34Z-commit-false-rerun-resets-killed-run; plan exited blocker; dropped; draft PR #553 closed; no run phase; earlier idle-timeout attempt ns 2026-06-25T19-50-16Z
2026-06-27T03-35-08Z-operator,plan-review-actuator-writes-subspec-to-resolved-spec-dir,2026-06-26,1,completed,,patch,1,75.44,10,namespace=jarvis:2026-06-26T04-57-54Z-plan-review-actuator-writes-subspec-to-resolved-spec-dir; PR #587 merge_sha=87a11d63 (+commit-path write-boundary guard); run escalated haiku-skip gpt-5.4->opus actuator->gpt-5.4 completed-spec; judgment=completed
2026-06-27T03-35-08Z-operator,actuator-model-capability-floor,2026-06-26,1,completed,,patch,1,139.69,10,namespace=jarvis:2026-06-26T17-18-48Z-actuator-model-capability-floor; PR #595 merge_sha=c5de3e3d; capability floor later removed from config as over-engineered (rip-out seeded #618); run haiku->opus actuator->haiku completed-spec; judgment=completed
2026-06-27T03-35-08Z-operator,per-subrole-agent-order-tiering,2026-06-26,1,completed,,patch,1,65.97,14,namespace=jarvis:2026-06-26T17-18-53Z-per-subrole-agent-order-tiering; PR #601 merge_sha=2260ad57; run gpt-5.4->blocker->haiku->opus actuator->haiku completed-spec; review test real-bug (actuator spawned real claude EPIPE) fixed by mocking actuator; judgment=completed
2026-06-27T03-35-08Z-operator,plan-commitfalse-boundary-scoped-to-own-spec-dir,2026-06-26,1,completed,,patch,1,45.42,7,namespace=jarvis:2026-06-26T21-33-19Z-plan-commitfalse-boundary-scoped-to-own-spec-dir; issue #533 PR #611 merge_sha=d15d16c1; run haiku->opus actuator->haiku completed-spec; judgment=completed
2026-06-27T03-35-08Z-operator,intent-emit-lint-md-clean-ready-intents-pinned-autofix,2026-06-26,0,failed,run parked 9/11 criteria (1 human-verify); never reached criteria-complete; impl not merged,patch,1,39.94,0,"namespace=jarvis:2026-06-26T21-33-19Z-intent-emit-lint-md-clean-ready-intents-pinned-autofix; run cascaded haiku->gpt-5.4->Composer 2.5->qwen3.6 with no-progress-fallback/quota-fallback/agent-error, stalled; spec archived (files moved 0-insert) but impl NOT on main; net files delivered=0; judgment=partial"
2026-06-27T03-35-08Z-operator,ready-gate-retry-bound-test-coverage,2026-06-26,1,completed,,patch,1,98.54,1,namespace=jarvis:2026-06-26T04-57-55Z-ready-gate-retry-bound-test-coverage; issue #519 PR #597 merge_sha=49e2d8a8 (+#600 import-sort follow-up); run haiku->opus actuator->haiku completed-spec; judgment=completed
2026-06-27T03-35-08Z-operator,patch-rules-discourage-agent-self-commits,2026-06-26,1,completed,,patch,1,52.47,7,namespace=jarvis:2026-06-26T04-57-57Z-patch-rules-discourage-agent-self-commits; PR #591 merge_sha=6e158563; run haiku->opus actuator->haiku completed-spec; judgment=completed
